Designator,Footprint,Quantity,Value,LCSC Part #
"CBULK1, CBULK3, CBULK5, CBULK7, CIN1, CLDO3, CLDO4, CLDO5, CLDO6",1206,9,10u,
"CBULK2, CBULK4, CBULK6, CBULK8",0805,4,1u,
CC1,0603,1,47p,
CC2,0603,1,22p,
"CCDAC1, CCDAC2, CCIN1, CCIP1, CCQN1, CCQP1, CIN2, CRE1",0603,8,100n,
"CD1, CD10, CD2, CD28, CD29, CD3, CD30, CD32, CD34, CD4, CD5, CD6, CD7, CD8, CD9, CDC1, CSEN1, CSEN2, CSEN3",0402,19,100n,
"CD11, CD20, CD21, CD22, CD26",0603,5,1u,
"CD12, CD13, CD18, CD19, CD23, CD24, CD25",0402,7,4.7p,
"CD14, CD15, CD16, CD17, CD27",0402,5,100p,
"CD31, CD33, CD35, CD36",0402,4,10n,
"CIF1, CIF2, CQF1, CQF2",0603,4,130p,
"CLDO1, CLDO2",0603,2,10u,
"CLDOS1, CLDOS2, CLDOS3",0402,3,470n,
CLF1,0402,1,270p,
"CLF2, CLF3",0402,2,4.7n,
F1,1206,1,~,
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8",0603,8,1k @100MHz,
J1,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J2,PinHeader_1x02_P1.00mm_Vertical,1,CLK_Pins,
J3,PinHeader_1x11_P1.00mm_Vertical,1,Idata,
J4,PinHeader_1x11_P1.00mm_Vertical,1,Qdata,
J5,PinHeader_1x06_P1.00mm_Vertical,1,SPIdata,
J6,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,SMA,
"RAP1, RDM1, RDM2, RDM3, RDM4, RDM5, RDM6, RDM7, RDM8",0603,9,0R,
"RAP2, RAP3",0603,2,DNP,
"RD1, RD2",0603,2,5.1k,
"RDIFF1, RDIFF4",0603,2,49.9R,
"RDIFF2, RDIFF3",0402,2,100R,
RDIV1,0603,1,1k,
RDIV2,0603,1,287R,
"RFS1, RPD1, RPD2, RPD3",0603,4,10k,
"RID0, RID1, RID2, RID3, RID4, RID5, RID6, RID7, RID8, RID9, RQD0, RQD1, RQD2, RQD3, RQD4, RQD5, RQD6, RQD7, RQD8, RQD9, RT1, RT2, RTSPI1, RTSPI2, RTSPI3, RTSPI4, RTSPI5",0402,27,33R,
"RINF1, RIPF1, RQNF1, RQPF1",0603,4,33R,
"RLDOS1, RLDOS2",0603,2,33.2k,
RLDOS3,0603,1,17.8k,
"RLF1, RLF2",0402,2,1.5k,
"RLOAD1, RLOAD2, RLOAD3, RLOAD4",0603,4,43.2R,
"U1, U3, U4",MSOP-12-1EP_3x4.039mm_P0.65mm_EP1.651x2.845mm,3,LT3045xMSE,
U2,RGZ48_5P6X5P6,1,TRF372017IRGZR,
U5,SOT-23-5,1,SN65LVDS1DBV,
U6,CP-72-1_ADI-M,1,AD9743BCPZ,
Y2,OSCSC508P1420X914X530-4N,1,CVHD-950-100.000,
