Designator,Mid X,Mid Y,Rotation,Layer
CBULK1,139.1,-97.6,180.0,top
CBULK2,138.9,-95.3,180.0,top
CBULK3,138.9,-89.4,180.0,top
CBULK4,139.3,-87.0,180.0,top
CBULK5,114.3,-49.8,90.0,top
CBULK6,116.7,-49.8,90.0,top
CBULK7,142.1,-68.9,180.0,top
CBULK8,146.4,-66.0,90.0,top
CC1,148.5,-60.8,180.0,top
CC2,127.9,-52.5,90.0,top
CCDAC1,113.075,-89.0,270.0,top
CCDAC2,111.575,-89.0,270.0,top
CCIN1,119.4,-61.8,0.0,top
CCIP1,119.4,-60.2,0.0,top
CCQN1,134.9,-61.8,180.0,top
CCQP1,134.9,-60.2,180.0,top
CD1,121.7,-93.6,90.0,bottom
CD10,167.1,-65.9,270.0,top
CD11,165.7,-65.9,270.0,top
CD12,126.18,-56.9,180.0,top
CD13,123.9,-56.9,0.0,top
CD14,125.9,-55.8,180.0,top
CD15,123.5,-55.8,0.0,top
CD16,120.5,-63.6,270.0,top
CD17,133.8,-63.9,270.0,top
CD18,121.6,-63.1,270.0,top
CD19,132.7,-63.1,270.0,top
CD2,122.2,-96.4,180.0,bottom
CD20,127.6,-70.5,180.0,top
CD21,118.5,-68.4,90.0,bottom
CD22,118.5,-65.2,90.0,bottom
CD23,126.5,-68.1,180.0,top
CD24,121.6,-67.1,90.0,top
CD25,121.6,-65.1,90.0,top
CD26,135.9,-66.5,90.0,bottom
CD27,132.7,-65.3,90.0,top
CD28,107.5,-90.0,270.0,top
CD29,117.25,-90.0,270.0,top
CD3,122.2,-97.4,180.0,bottom
CD30,152.5,-99.7,270.0,top
CD31,127.0,-69.2,180.0,top
CD32,147.6,-79.4,180.0,top
CD33,133.8,-66.0,90.0,top
CD34,152.4,-91.5,270.0,top
CD35,120.5,-65.6,90.0,top
CD36,120.5,-67.6,90.0,top
CD4,127.5,-103.5,0.0,bottom
CD5,132.4,-97.25,0.0,bottom
CD6,123.4,-92.9,0.0,bottom
CD7,122.7,-90.7,0.0,bottom
CD8,131.0,-93.0,180.0,bottom
CD9,131.1,-90.6,180.0,bottom
CDC1,109.325,-85.0,270.0,top
CIF1,124.75,-84.3,0.0,top
CIF2,124.75,-79.7,0.0,top
CIN1,154.5,-114.0,0.0,top
CIN2,154.5,-116.1,0.0,top
CLDO1,150.0,-106.0,180.0,top
CLDO2,150.0,-104.3,180.0,top
CLDO3,142.8,-82.7,180.0,top
CLDO4,142.8,-80.1,180.0,top
CLDO5,156.7,-94.4,0.0,top
CLDO6,156.7,-91.9,0.0,top
CLDOS1,144.15,-92.5,180.0,top
CLDOS2,146.1,-71.1,90.0,top
CLDOS3,144.25,-100.95,180.0,top
CLF1,123.5,-70.2,270.0,top
CLF2,124.6,-70.2,270.0,top
CLF3,122.3,-70.2,270.0,top
CQF1,129.25,-84.3,180.0,top
CQF2,129.25,-79.7,180.0,top
CRE1,136.0,-91.5,180.0,top
CSEN1,143.965,-93.665,0.0,top
CSEN2,144.9,-71.1,270.0,top
CSEN3,143.935,-102.135,0.0,top
F1,153.25,-110.23,270.0,top
FB1,123.3,-50.4,0.0,top
FB2,118.5,-58.6,270.0,bottom
FB3,127.5,-74.0,0.0,top
FB4,140.3,-64.1,0.0,bottom
FB5,119.8,-52.3,0.0,top
FB6,138.7,-62.0,0.0,bottom
FB7,114.1,-66.6,180.0,bottom
FB8,114.1,-68.5,180.0,bottom
J1,167.0325,-109.0,90.0,top
J2,108.825,-81.0,0.0,top
J3,108.98,-102.0,180.0,top
J4,132.0,-115.0,270.0,top
J5,143.8,-39.0,270.0,top
J6,127.9,-41.72,270.0,top
RAP1,127.9,-47.1,90.0,top
RD1,158.5,-109.48,180.0,top
RD2,158.5,-107.98,180.0,top
RDIFF1,114.825,-91.5,180.0,top
RDIFF2,132.7,-61.0,270.0,top
RDIFF3,121.6,-61.0,270.0,top
RDIFF4,109.825,-91.5,180.0,top
RDIV1,116.75,-80.25,90.0,top
RDIV2,116.75,-85.25,90.0,top
RDM1,118.5,-62.0,270.0,bottom
RDM2,135.9,-62.9,270.0,bottom
RDM3,127.6,-72.2,180.0,top
RDM4,116.8,-65.175,90.0,bottom
RDM5,137.6,-64.9,270.0,bottom
RDM6,116.8,-68.375,90.0,bottom
RDM7,124.9,-53.2,270.0,top
RDM8,122.7,-53.2,270.0,top
RFS1,136.0,-93.25,0.0,top
RID0,111.48,-108.0,180.0,top
RID1,111.48,-106.75,180.0,top
RID2,111.48,-105.5,180.0,top
RID3,111.48,-104.25,180.0,top
RID4,111.48,-103.0,180.0,top
RID5,111.48,-101.75,180.0,top
RID6,111.48,-100.5,180.0,top
RID7,111.48,-99.25,180.0,top
RID8,111.49,-98.0,180.0,top
RID9,111.48,-96.75,180.0,top
RINF1,125.5,-82.0,90.0,top
RIPF1,124.0,-82.0,90.0,top
RLDOS1,143.15,-91.0,0.0,top
RLDOS2,147.5,-69.7,270.0,top
RLDOS3,143.25,-99.45,0.0,top
RLF1,124.0,-71.8,180.0,top
RLF2,123.2,-68.6,180.0,top
RLOAD1,123.1,-88.25,0.0,top
RLOAD2,126.4,-88.25,180.0,top
RLOAD3,130.9,-86.5,180.0,top
RLOAD4,127.6,-86.5,0.0,top
RPD1,143.8,-46.2,90.0,bottom
RPD2,142.1,-46.2,90.0,bottom
RPD3,140.4,-46.2,90.0,bottom
RQD0,136.75,-112.0,270.0,top
RQD1,135.5,-112.0,270.0,top
RQD2,134.25,-112.0,270.0,top
RQD3,133.0,-112.01,270.0,top
RQD4,131.75,-112.0,270.0,top
RQD5,130.5,-112.01,270.0,top
